Question,Marks,Topic,Difficulty
How do you find all pairs of an integer array whose sum is equal to a given number?,10,ARRAY,9
How do you find duplicate numbers in an array if it contains multiple duplicates?,10,ARRAY,9
How to remove duplicates from a given array in Java?,10,ARRAY,9
How do you search a target value in a rotated array?,10,ARRAY,9
"Given an unsorted array of integers, find the length of the longest consecutive elements sequence?",8,ARRAY,9
How is an integer array sorted in place using the quicksort algorithm?,10,ARRAY,9
How do you remove duplicates from an array in place?,8,ARRAY,9
How do you reverse an array in place in Java?,10,ARRAY,9
How are duplicates removed from an array without using any library?,8,ARRAY,9
How to convert a byte array to String?,10,ARRAY,9
What is the difference between an array and a linked list?,10,ARRAY,9
How do you perform a binary search in a given array?,10,ARRAY,9
How to find a median of two sorts arrays?,10,ARRAY,9
How to rotate an array left and right by a given number K?,10,ARRAY,9
How do you find duplicates from an unsorted array?,8,ARRAY,9
"Given an array of integers sorted in ascending order, find the starting and ending position of a given value?",10,ARRAY,9
"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum?",8,ARRAY,9
Write a C++ program to find the largest element of a given array of integers.,10,ARRAY,5
Write a C++ program to find the largest three elements in an array.,10,ARRAY,5
Write a C++ program to find second largest element in a given array of integers,7,ARRAY,5
Write a C++ program to find k largest elements in a given array of integers.,7,ARRAY,5
Write a C++ program to find the second smallest elements in a given array of integers.,7,ARRAY,5
Write a C++ program to find all elements in array of integers which have at-least two greater elements,7,ARRAY,5
Write a C++ program to find the most occurring element in an array of integers.,7,ARRAY,5
Write a C++ program to find the next greater element of every element of a given array of integers. Ignore those elements which have no greater element.,7,ARRAY,5
"Write a C++ program to sort a given unsorted array of integers, in wave form",7,ARRAY,5
Write a C++ program to update every array element by multiplication of next and previous values of a given array of integers,7,ARRAY,5
Write a C++ program to find the smallest element missing in a sorted array.,7,ARRAY,5
Write a C++ program to rearrange the elements of a given array of integers in zig-zag fashion way,7,ARRAY,5
"Write a C++ program to separate even and odd numbers of an array of integers. Put all even numbers first, and then odd numbers",7,ARRAY,5
Write a C++ program to separate 0s and 1s from a given array of values 0 and 1,7,ARRAY,5
Write a C++ program to rearrange a given sorted array of positive integers .,7,ARRAY,5
"Write a C++ program to sort a given array of 0s, 1s and 2s. In the final array put all 0s first, then all 1s and all 2s in last.",7,ARRAY,5
Write a C++ program to sort (in descending order) an array of distinct elements according to absolute difference of array elements and with a given value,7,ARRAY,5
Write a C++ program to move all negative elements of an array of integers to the end of the array without changing the order of positive element and negative element,7,ARRAY,5
Write a C++ program to find a number which occurs odd number of times of a given array of positive integers. In the said array all numbers occur even number of times.,7,ARRAY,5
Write a C++ program to count the number of occurrences of given number in a sorted array of integers,7,ARRAY,5
Write a C++ program to find the two repeating elements in a given array of integers,7,ARRAY,5
Write a C++ program to find the missing element from two given arrays of integers except one element.,7,ARRAY,5
Write a C++ program to find the element that appears once in an array of integers and every other element appears twice.,7,ARRAY,5
Write a C++ program to find the first repeating element in an array of integers.,7,ARRAY,5
Write a C++ program to find and print all common elements in three sorted arrays of integers.,7,ARRAY,5
Write a C++ program to find and print all unique elements of a given array of integers.,7,ARRAY,5
Write a C++ program to find the number of pairs of integers in a given array of integers whose sum is equal to a specified number.,7,ARRAY,5
Write a C++ program to arrange the numbers of a given array in a way that the sum of some numbers equal the largest number in the array.,7,ARRAY,5
Write a C++ program to find the second lowest and highest numbers in a given array.,7,ARRAY,5
Find a pair with the given sum in an array,10,ARRAY,9
Check if a subarray with 0 sum exists or not,10,ARRAY,9
Print all subarrays with 0 sum,10,ARRAY,9
Sort binary array in linear time,10,ARRAY,9
Find maximum length subarray having a given sum,10,ARRAY,9
Find maximum length subarray having an equal number of 0’s and 1’s,10,ARRAY,9
Find the maximum product of two integers in an array,10,ARRAY,9
"Sort an array of 0’s, 1’s, and 2’s (Dutch National Flag Problem)",10,ARRAY,9
In-place merge two sorted arrays,10,ARRAY,9
Merge two arrays by satisfying given constraints,10,ARRAY,9
Find the index of 0 to be replaced to get the maximum length sequence of continuous ones,10,ARRAY,9
Shuffle an array using Fisher–Yates shuffle algorithm,10,ARRAY,9
Rearrange an array with alternate high and low elements,10,ARRAY,9
Find equilibrium index of an array,10,ARRAY,9
Find the largest subarray formed by consecutive integers,10,ARRAY,9
Find majority element (Boyer–Moore Majority Vote Algorithm),10,ARRAY,9
Move all zeros present in an array to the end,10,ARRAY,9
Replace every array element with the product of every other element,10,ARRAY,9
Longest Bitonic Subarray Problem,10,ARRAY,9
Find the maximum difference between two array elements that satisfies the given constraints,10,ARRAY,9
Print continuous subarray with maximum sum,10,ARRAY,9
Maximum Sum Circular Subarray,10,ARRAY,9
Find all distinct combinations of a given length – I,10,ARRAY,9
Find the maximum sequence of continuous 1’s formed by replacing at-most k zeroes by ones,10,ARRAY,9
Find minimum sum subarray of size k,10,ARRAY,9
Maximum Product Subarray Problem,10,ARRAY,9
Find a subarray having the given sum in an integer array,10,ARRAY,9
Find the smallest subarray length whose sum of elements is greater than k,10,ARRAY,9
Find the smallest window in an array sorting which will make the entire array sorted,10,ARRAY,9
Find maximum sum path involving elements of given arrays,10,ARRAY,9
Find maximum profit earned by buying and selling shares any number of times,10,ARRAY,9
Find minimum platforms needed to avoid delay in the train arrival,10,ARRAY,9
Decode an array constructed from another array,10,ARRAY,9
Sort an array in one swap whose two elements are swapped,10,ARRAY,9
Find a triplet with the given sum in an array,10,ARRAY,9
Find the longest continuous sequence length with the same sum in given binary arrays,10,ARRAY,9
Reverse every consecutive m-elements of a subarray,10,ARRAY,9
Maximum Product Subset Problem,10,ARRAY,9
Find pairs with difference k in an array,10,ARRAY,9
4–Sum Problem | Quadruplets with a given sum,10,ARRAY,9
Print all quadruplets with a given sum | 4 sum problem extended,10,ARRAY,9
Quickselect Algorithm,10,ARRAY,9
Rearrange array such that A[A[i]] is set to i for every element A[i],10,ARRAY,9
Print all triplets that form an arithmetic progression,10,ARRAY,9
Print all triplets that form a geometric progression,10,ARRAY,9
Group elements of an array based on their first occurrence,10,ARRAY,9
"In n-Queens, some solutions are simply reflections of others. For example, two (10) solutions (Fig. 2) for 4-Queens problem are equivalent under reflection. (a) Modify NQueens Algorithm (Fig. 3) to get unique solutions only. (b) Execute the NQueens Algorithms devised in Q7. (a) for Draw the associated state space search trees separately for each value of .Algorithm NQueens(k,n) { for i = 1 to n do { if (Place(k,i)) then { x[k] = i; if (k == n) print x[1..n]; else NQueens(k+1,n); } } } // Returns true if Queen can be placed in kth row ith // column. Algorithm Place(k,i) { for j = 1 to k â€“ 1 do if ((x[j] == i) OR (Abs(x[j] â€“ i) == Abs(j â€“ k))) return false; return true;",10,BACKTRACKING,8
"Write algorithm for n queen problem using backtracking approach. Discuss your algorithm
step wise for a 4x4 chess board.",14,BACKTRACKING,9
What happens when the backtracking algorithm reaches a complete solution? explain,3,BACKTRACKING,2
N Queens Problem,5,BACKTRACKING,9
Warnsdorff’s Algorithm,5,BACKTRACKING,9
Word Break Problem,5,BACKTRACKING,9
Remove Invalid Parenthesis,5,BACKTRACKING,9
Match a pattern and string using regular expression,5,BACKTRACKING,9
Find Path from corner cell to middle cell in a maze,5,BACKTRACKING,9
Hamiltonian cycle,5,BACKTRACKING,9
Sudoku solver,5,BACKTRACKING,9
M Coloring Problem,5,BACKTRACKING,9
Rat in a Maze,5,BACKTRACKING,9
Tug of war,5,BACKTRACKING,9
Subset sum,5,BACKTRACKING,9
What is the difference between Backtracking and Recursion?,2,BACKTRACKING,5
What is Exhaustive Search?,3,BACKTRACKING,5
Explain what is DFS (Depth First Search) algorithm for a Graph and how does it work?,3,BACKTRACKING,5
Explain what is Explicit and Implicit Backtracking Constrains?,3,BACKTRACKING,5
"Which of the problems cannot be solved by backtracking method?
A
n-queen problem
B
subset sum problem
C
hamiltonian circuit problem
D
travelling salesman problem . expalin why",4,BACKTRACKING,2
"Backtracking algorithm is implemented by constructing a tree of choice s called as?
A
State-space tree
B
State-chart tree
C
Node tree
D
Backtracking tree . explain why",4,BACKTRACKING,2
What happens when the backtracking algorithm reaches a complete solution?,3,BACKTRACKING,2
A node is said to be ..... if it has a possibility of reaching a complete solution.,1,BACKTRACKING,2
In what manner is a state-space tree for a backtracking algorithm constructed?,1,BACKTRACKING,2
Magnet Puzzle,8,BACKTRACKING,9
Print all k–colorable configurations of a graph (Vertex coloring of a graph),10,BACKTRACKING,9
Find the minimum number possible by doing at-most `k` swaps,10,BACKTRACKING,9
Print all triplets in an array with a sum less than or equal to a given number,10,BACKTRACKING,9
Find all possible combinations by replacing given digits with characters of the corresponding list,8,BACKTRACKING,9
Find all combinations of non-overlapping substrings of a string,10,BACKTRACKING,5
Find all binary strings that can be formed from a wildcard pattern,10,BACKTRACKING,5
Find ways to calculate a target from elements of the specified array,10,BACKTRACKING,5
"In n-Queens, some solutions are simply reflections of others. For example, two
solutions (Fig. 2) for 4-Queens problem are equivalent under reflection.
(a) Modify NQueens
Algorithm (Fig. 3) to get
unique solutions only.
(b) Execute the NQueens
Algorithms devised in Q7.
(a) for .
Draw the associated state
space search trees
separately for each value
of .",10,BACKTRACKING,9
"Consider the following operation along with Enqueue and Dequeue operations on queues, where k is a global parameter.
MultiDequeue(Q){
m = k
while (Q is not empty and m > 0) {
Dequeue(Q)
m = m - 1
}
}
What is the worst case time complexity of a sequence of n MultiDequeue() operations on an initially empty queue? (GATE CS 2013) (A) \Theta(n) (B) \Theta(n + k) (C) \Theta(nk) (D) \Theta(n^2)",6,BACKTRACKING,9
"Draw a Binary Search Tree by sequentially inserting the following elements 40,50,22,33,30,80,15,25,60,90,75,44",4,BST,6
"For the BST obtained in Q2.(a), print the elements in Pre-order, In-order and Post-order traversals.",3,BST,1
"Delete in sequence 44, 50, and 40 from BST obtained in Q2.(a). Show the BST after each deletion.",3,BST,8
Let each node in a binary search tree keeps an attribute that points to â€™s inorder successor. Give a pseudocode for INSERT on a binary search tree using this representation.,6,BST,5
Draw a Binary Search Tree (BST) by sequentially inserting the following elements:,4,BST,6
Delete 76 from the BST obtained in Q.2.(a) and draw the resultant BST.,1,BST,2
What is a binary search tree?,2,BST,2
What is a self-balanced tree?,2,BST,2
What is an AVL tree?,2,BST,2
How do you convert a binary tree into a binary search tree,4,BST,5
How do you delete a node from a binary search tree?,4,BST,5
How many non-null links are there in a binary tree with N nodes?,2,BST,2
"The integers 7, 1, 12, 8, 3, 0, –1, 9 are inserted in that order into an initially empty binary search tree. Draw the tree after the last insertion.",6,BST,9
"In class, we studied binary search trees that do not allow us to insert duplicate elements. However, sometimes we do need to store duplicates. For example, a database of student marks might contain one record for every mark by every student; so if you’ve taken two courses, there will be two records with the same key (your student number) and different data (your two marks). To accomplish this, we might use a data structure called a “BST with duplicates”, or BSTD. A node in a BSTD is defined as follows: public class BSTDNode { public Comparable key; /* for inserting and searching */ public Data data; /* the rest of the data */ public BSTDNode left; /* left subtree */ public BSTDNode same; /* subtree of nodes with the same key */ public BSTDNode right; /* right subtree */ public BSTDNode (Comparable key, Data data) { this.key = key; this.data = data; } } public class Data { // various fields and methods that are not important } We assume that if we attempt to find a node with a key that is already present, we simply create a new node with this key, linking to it through the “same” instance variable. The order of the nodes with the same key is not important. In the following two examples, we suppose that both key and data are integers, so (1, 3) refers to a node where key is 1 and data is 3. Here are three trees. In each node, we show the key field and then the data field; for example, the root of the first tree is “(5,8)”, meaning that key is 5 and data is 8. T1 is a valid BSTD, but T2 and T3 are not valid. T2 is invalid because a node down the sequence of same links for key 5 has a non-null right child. T3 is invalid because identical keys (5) are found in two places that are not connected by same links. (5,8) (3,10) (5,10) (5,9) (8,3) (6,1) (11,5) (9,9) (2,3) (4,3) (4,7) T1 (good): (5,8) (3,10) (5,10) (5,9) (8,3) (6,1) (11,5) (9,9) (2,3) (4,3) (4,7) T2 (bad): (5,8) (3,10) (5,10) (5,9) (8,3) (6,1) (11,5) (9,9) (2,3) (4,3) (4,7) T3 (bad): CSC 148H1S-148H5S-A48H3S April-May 2005 Page 9 of 15 continued … 4. (continued) (a) [2 marks]. List the elements of T1 (the first example tree on the previous page) in pre-order. Write a node as (key, data). Remember that the order of nodes is determined by the key value, not by the data value. Within a “same” sequence, proceed from top to bottom. (5,8) (5,10) (5,9) (3,10) (2,3) (4,3) (4,7) (8,3) (6,1) (11,5) (9,9) (b) [2 marks]. List the elements of T1 in post-order. (2,3) (4,3) (4,7) (3,10) (6,1) (9,9) (11,5) (8,3) (5,8) (5,10) (5,9) (c) [3 marks]. Suppose these elements have been inserted into an initially empty BSTD, in the order shown: (5,4) (3,2) (8,1) (7,4) (3,5) (8,2) (2,8) (5,0) (6,2) (5,1) Draw the resulting BSTD, showing it schematically, as in the example diagrams on the previous page, with “/” indicating a left child, “\” indicating a right child, and “|” indicating a “same child”. (5,4) (3,2) (5,1) (5,0) (8,1) (7,4) (8,2) (6,2) (2,8) (3,5) CSC 148H1S-148H5S-A48H3S April-May 2005 Page 10 of 15 continued … 4. (continued) Now we declare a class LinkedBSTD as follows: public class LinkedBSTD { private BSTDNode root; // root of the tree // various methods } (d) [5 marks]. Write a method count(), in the LinkedBSTD class, that counts the number of occurrences of a node with a given key in the tree. If the node is not in the tree, it returns 0. You may assume the existence of this method: private static BSTDNode contains (BSTDNode t, Comparable k) { The method contains() returns a reference to a highest descendant of t that has key k. If t itself has key k, then the return value is t. If no descendant of t has key k, then null is returned. Remember: you don’t have to write contains(). Your method count() may be iterative or recursive. Here is its header line to get you started: public int count (Comparable k) {",10,BST,9
Draw the binary search tree that is created if the following numbers are inserted in the tree in the given order.,6,BST,9
Draw a balanced binary search tree containing the same numbers given in part (a),10,BST,9
How to search for a key in a binary search tree?,6,BST,9
Explain different Traversal of the Nodes in a BST,10,BST,9
"Given that 2 elements are present in the tree, write a function to find the LCA(Least Common Ancestor) of the 2 elements.",6,BST,5
What are the tasks performed during inorder traversal?,4,BST,5
. What are the tasks performed during postorder traversal?,4,BST,5
"Traverse the given tree using Inorder, Preorder and Postorder traversals.",6,BST,2
Prove that an in-order traversal of a binary search tree visits the nodes in order defined by the keys. Hint: what is the variable used for the proposition ? The number of nodes of the tree? Something else?,6,BST,9
"Give a non-recursive version of the binary search tree operations find, findMin, findMax",6,BST,9
"(a) Form a binary search tree of strings from the sentence: Form a binary search tree of strings In particular, the tree must be constructed by adding the words in the order they are found in the sentence, namely first add the word “Form” to an empty tree, then add the word “a”, etc. (b) What is the tree that results, if you run remove(‘‘Form’’) on the tree in (a) ?",6,BST,9
"The following numbers are inserted into an empty binary search tree in the given order: 10, 1, 3, 5, 15, 12, 16. What is the height of the binary search tree?",2,BST,2
"The number of ways in which the numbers 1, 2, 3, 4, 5, 6, 7 can be inserted in an empty binary search tree, such that the resulting tree has height 6, is.",2,BST,2
Consider the binary search tree with n elements. The time required to search given element is:,2,BST,2
List the types of Binary Search Tree. Explain Insertion and Deletion Operation on Binary Search Tree with Example.,10,BST,5
What is the meaning of height balanced tree? How rebalancing is done in height balanced tree.,10,BST,9
WAP to Convert a Binary Search Tree into a Min Heap,6,BST,9
WAP to Find a triplet with the given sum in a BST,6,BST,9
WAP to Construct a height-balanced BST from a sorted doubly linked list,6,BST,9
WAP to Construct a height-balanced BST from an unbalanced BST,6,BST,9
WAP to Merge two BSTs into a doubly-linked list in sorted order,6,BST,9
"WAP to Implement Treap Data Structure (Insert, Search, and Delete)",6,BST,9
WAP to Find optimal cost to construct a binary search tree,6,BST,9
WAP to Print binary tree structure with its contents in C++,6,BST,2
WAP to Print complete Binary Search Tree (BST) in increasing order,6,BST,2
WAP to Find the size of the largest BST in a binary tree,6,BST,9
WAP to Count subtrees in a BST whose nodes lie within a given range,6,BST,9
WAP to Build a Binary Search Tree from a preorder sequence,6,BST,5
WAP to Build a Binary Search Tree from a postorder sequence,6,BST,5
WAP to Check if a given sequence represents the preorder traversal of a BST,6,BST,9
WAP to Update every key in a BST to contain the sum of all greater keys,6,BST,5
WAP to Fix a binary tree that is only one swap away from becoming a BST,6,BST,9
WAP to Replace every array element with the least greater element on its right,6,BST,9
WAP to Find k’th smallest node in a Binary Search Tree (BST),6,BST,9
WAP to Find a pair with the given sum in a BST,6,BST,9
WAP to Remove nodes from a BST that have keys outside a valid range,6,BST,9
WAP to Find floor and ceil in a Binary Search Tree,6,BST,2
WAP to Find the Lowest Common Ancestor (LCA) of two nodes in a BST,6,BST,9
WAP for Diagonal Traversal of a tree,6,BST,9
WAP for ZigZag Level Order Traversal BT,6,BST,9
WAP to find Max Depth of Binary Tree,6,BST,9
WAP to Flatten Binary Tree to Linked List,6,BST,9
WAP to find Path to Given Node,6,BST,9
WAP to Remove Half Nodes,6,BST,9
WAP to Invert the Binary Tree,6,BST,9
WAP to convert Sorted Array To Balanced BST,6,BST,9
What is the difference between binary and binary search trees?,4,BST,2
WAP to print right view,6,BST,9
(a) Solve the following recurrence relation.,1,COMPLEXITY,2
"(b) Find the recurrence relation and solve it for the function given in Fig. 1.
 1. int power(int x, int n)
 2. { if (n==0)
 3. return 1;
 4. else if (n==1)
 5. return x;
 6. else if ((n%2)==0)
 7. return power(x, n/2)*power(x, n/2);
 8. else
 9. return power(x, n/2)*power(x, n/2);
 10. }",2,COMPLEXITY,4
"(a) Let f(n) = 7n + 8 and g(n) = n. Is f(n) = O(g(n))?
 If yes, then determine the values of n0 and c showing all intermediate steps.
 If no, then justify your answer with appropriate explanation.",1,COMPLEXITY,1
"An algorithm ALGO consists of two tuneable sub-algorithms ALGOA and ALGOB, which have to be executed serially. Given any function f(n), one can tune ALGOA and ALGOB such that one run of ALGOA takes time O(f(n)) and ALGOB takes time O(n/f(n)). For the given scenario, determine the smallest growing function f(n) which minimizes the overall runtime of ALGO.",2,COMPLEXITY,4
"Answer the following questions with respect to the function given in Fig. 4.
 
 (a) What is the purpose of designing it? [Hint: Use n <= 5, 1 <= k <= n]
 
 (b) What is its complexity?
 
 (c) Is answer to Q7.(b) dependent on the value of k? If yes, then for k > n suggest a single line modification in the given function to maintain the identified time complexity as in Q7.(b). If no, then give suitable justification with examples for the identified independency.
 1. /* Integer n is the number of elements in an array A[0..nâ€“1]. */
 
 2. void module(int *A, int n, int k)
 
 3. { int temp, i, j;
 
 4. for (j = 0; j < k; j++)
 
 5. { temp = A[n-1];
 
 6. for (i = n - 1; i > 0; i--)
 
 7. A[i] = A[i - 1];
 
 8. A[i] = temp;
 
 9. }
 
 10. }",2,COMPLEXITY,6
"Compute complexity of the following pseudo-codes giving proper justifications.(a)
for (int i = 1; i <= n; i++)
for(int j = 1; j <= i; j++)
for(int k = 1; k <= j; k++)
{ â€¦ }
(b)
for (int p = 1; p + n/2 <= n; p++)
for(int q = n; q > 0; q /= 2)
for(int r = 1; r*r <= n; r++)
for(int s = 1; s < n; s++)
{ break; â€¦ }
(c)
m = n;
while ( n > 0)
{ for(int i = 0; i < m; i++)
â€¦
n = n/3;
}",3,COMPLEXITY,4
"The correct order of the efficiency of the following sorting algorithms according to their overall running time comparision is? Also write the complexity of each one of them
a) Insertion>selection>bubble
b) Insertion>bubble>selection
c) Selection>bubble>insertion
d) bubble>selection>insertion",3,COMPLEXITY,3
"The total number of comparisons in bubble sort is. Explain
a) O(n.logn)
b) O(2n)
c) O(n^2)
d) None of the above",4,COMPLEXITY,5
"Running time of an algorithm T(n), where n is input size, is given by T(n) = 8T(n/2) + qn, if n > 1 and T(n) = p if n = 1, where p and q are constants. The order of the algorithm is.",3,COMPLEXITY,4
An algorithm consists of two modules: x1 and x2. Their orders are f(n) and g(n) respectively. The order of the algorithm is.,2,COMPLEXITY,3
"Running time T(n) where 'n' is the input size of the recursive algorithm given as : T(n) = c + T(n-1), if n > 1 ; T(n) = d if n < 1. The order of the algorithm is.",3,COMPLEXITY,4
"For merging two sorted lists of sizes m and n, into a sorted list of size m+n, the number of comparisons required are",2,COMPLEXITY,2
"The average number of comparisons in sequential search is 
a) n^2
b) n(n-1) / 2
c) n(n+1) / 2
d) (n+1) /2",2,COMPLEXITY,4
"The running time of quick sort depends most heavily on the selection of ? Explain
a) No of inputs
b) Arrangement of elements in array
c) Size of elements
d) Pivot element",2,COMPLEXITY,4
"Which of the following functions has the largest growth rate? 
a) n^(1/2)
b) n^100
c) 2^(n/2)
d) 2^(n!)",1,COMPLEXITY,2
The worst case for a linear search algorithm is when the item is at what position. Also write down the time complexity,2,COMPLEXITY,2
The complexity of Binary search algorithm is. Explain,3,COMPLEXITY,4
"Solve the following recurrence relation using Master’s theorem-

T(n) = 3T(n/2) + n2",4,COMPLEXITY,6
"Solve the following recurrence relation using Master’s theorem-

T(n) = 2T(n/2) + nlogn",4,COMPLEXITY,6
"Solve the following recurrence relation using Master’s theorem-

T(n) = 2T(n/4) + n0.51",4,COMPLEXITY,6
"Solve the following recurrence relation using Master’s theorem-

T(n) = √2T(n/2) + logn",5,COMPLEXITY,7
"Solve the following recurrence relation using Master’s theorem-

T(n) = 8T(n/4) – n2logn",5,COMPLEXITY,6
"Solve the following recurrence relation using Master’s theorem-

T(n) = 3T(n/3) + n/2",5,COMPLEXITY,6
"Form a recurrence relation for the following code and solve it using Master’s theorem-

 A(n)
{
if(n<=1)
return 1;
else
return A(√n);
}",4,COMPLEXITY,5
"Consider the recurrence relation a1=4, an=5n+an-1. The value of a64 is",2,COMPLEXITY,4
Determine the solution of the recurrence relation Fn=20Fn-1 − 25Fn-2 where F0=4 and F1=14.,2,COMPLEXITY,4
"What is the recurrence relation for 1, 7, 31, 127, 499?
a) bn+1=5bn-1+3
b) bn=4bn+7!
c) bn=4bn-1+3
d) bn=bn-1+1",2,COMPLEXITY,5
"If Sn=4Sn-1+12n, where S0=6 and S1=7, find the solution for the recurrence relation.",3,COMPLEXITY,5
"Find the value of a4 for the recurrence relation an=2an-1+3, with a0=6.",3,COMPLEXITY,4
"The solution to the recurrence relation an=an-1+2n, with initial term a0=2 are",2,COMPLEXITY,3
Determine the solution for the recurrence relation bn=8bn-1−12bn-2 with b0=3 and b1=4.,2,COMPLEXITY,4
What is the solution to the recurrence relation an=5an-1+6an-2?,3,COMPLEXITY,4
Determine the value of a2 for the recurrence relation an = 17an-1 + 30n with a0=3.,3,COMPLEXITY,4
Determine the solution for the recurrence relation an = 6an-1−8an-2 provided initial conditions a0=3 and a1=5.,4,COMPLEXITY,5
"Solve the following recurrence relation?
T(n) = 7T(n/2) + 3n^2 + 2",5,COMPLEXITY,7
"Sort the following functions in the decreasing order of their asymptotic (big-O) complexity:
f1(n) = n^?n , f2(n) = 2^n, f3(n) = (1.000001)^n , f4(n) = n^(10)*2^(n/2)
(a) f2> f4> f1> f3
(b) f2> f4> f3> f1
(c) f1> f2> f3> f4
(d) f2> f1> f4> f3",3,COMPLEXITY,5
"f(n) = 2^(2n)
Which of the following correctly represents the above function? Explain
(a) O(2^n)
(b) O(2^n)
(c) O(2^n)
(d) None of these",2,COMPLEXITY,4
"Master’s theorem can be applied on which of the following recurrence relation, and why?
(a) T (n) = 2T (n/2) + 2^n
(b) T (n) = 2T (n/3) + sin(n)
(c) T (n) = T (n-2) + 2n^2 + 1
(d) None of these",3,COMPLEXITY,4
T(n) = 3T(n/2+ 47) + 2n^2 + 10*n – 1/2. T(n) will be,4,COMPLEXITY,6
Solve the recurrence relation Fn=5Fn−1−6Fn−2 where F0=1 and F1=4,4,COMPLEXITY,5
Solve the recurrence relation − Fn=10Fn−1−25Fn−2 where F0=3 and F1=17,3,COMPLEXITY,3
Solve the recurrence relation Fn=2Fn−1−2Fn−2 where F0=1 and F1=3,3,COMPLEXITY,3
"What is the time, space complexity of the following code: int a = 0, b = 0;
for (i = 0; i < N; i++) {
a = a + rand();
}
for (j = 0; j < M; j++) {
b = b + rand();
}",3,COMPLEXITY,4
"What is the time complexity of the following code: int a = 0;
for (i = 0; i < N; i++) {
for (j = N; j > i; j--) {
a = a + i + j;
}
}",3,COMPLEXITY,5
"What is the time complexity of the following code:
int i, j, k = 0;
for (i = n / 2; i <= n; i++) {
for (j = 2; j <= n; j = j * 2) {
k = k + n / 2;
}
}",3,COMPLEXITY,5
"What does it mean when we say that an algorithm X is asymptotically more efficient than Y? a) X will always be a better choice for small inputs
b) X will always be a better choice for large inputs
c) Y will always be a better choice for small inputs
d) X will always be a better choice for all inputs",1,COMPLEXITY,2
"What is the time complexity of the following code:
int a = 0, i = N;
while (i > 0) {
a += i;
i /= 2;
}",2,COMPLEXITY,4
"Which of the following best describes the useful criterion for comparing the efficiency of algorithms?

a) Time
b) Memory
c) Both of the above
d) None of the above",1,COMPLEXITY,1
"How is time complexity measured?
a) By counting the number of algorithms in an algorithm.
b) By counting the number of primitive operations performed by the algorithm on given input size.
c) By counting the size of data input to the algorithm.
d) None of the above",1,COMPLEXITY,1
Average case time complexity of quicksort?,1,COMPLEXITY,2
Worst case time complexity of quicksort?,1,COMPLEXITY,2
Time complexity of binary search?,1,COMPLEXITY,1
"There are n unsorted arrays: A1, A2, …, An. Assume that n is odd. Each of A1, A2, …, An contains n distinct elements. There are no common elements between any two arrays. The worst-case time complexity of computing the median of the medians of A1, A2, …, An is? Explain",1,COMPLEXITY,2
